,Name
0,Hollow Knight
1,Kirby & The Amazing Mirror
2,Donkey Kong Country
3,Mario Kart DS
4,Serious Sam Classic: The First Encounter
5,Mega Man Zero 2
6,The Legend of Zelda: Majora's Mask
7,Portal
8,Metal Gear Solid 2: Sons of Liberty
9,Shadow of the Colossus (2018)
10,God of War II
11,Bomberman 64
12,Fe
13,Spike Hike
14,Cat Bird
15,CometStriker
16,Khimera: Destroy All Monster Girls
17,Another World: 20th Anniversary Edition
18,Monster World IV
19,Mega Turrican
20,Ecco: The Tides of Time
21,Vectorman
22,Generations Lost
23,Bloody Wolf
24,Earthworm Jim 2
25,Pocky & Rocky
26,Super Ghouls 'N Ghosts
27,ActRaiser 2
28,Castlevania: Symphony of the Night
29,Castlevania: Aria of Sorrow
30,Castlevania Chronicles
31,Castlevania II: Simon's Quest
32,Castlevania III: Dracula's Curse
33,Bloodstained: Curse of the Moon
34,Donkey Kong Country: Tropical Freeze
35,Jak 3
36,Crash Bandicoot: N. Sane Trilogy
37,Splatoon 2: Octo Expansion
38,Resident Evil
39,Silent Hill 2
40,Tomb Raider II
41,Tomb Raider : The Angel of Darkness
42,NieR: Automata
43,The Battle of Olympus
44,Vice: Project Doom
45,Chip 'n Dale: Rescue Rangers 2
46,Yume Kojo: Doki Doki Panic!
47,Rayman 2: The Great Escape
48,Bastion
49,Momodora: Reverie Under the Moonlight
50,Sonic Forces
51,Sonic Mania Plus
52,Sanic Ball
53,Sonic The Hedgehog 1
54,Sonic Rush
55,Mario Kart 64
56,Super Mario Bros. 3mix
57,Super Mario RPG: Legend of the Seven Stars
58,Trauma Center: Under The Knife 2
59,Medal of Honor: Airborne
60,Tony Hawk's Pro Skater 2X
61,The Elder Scrolls III: Morrowind
62,Michael Jackson's Moonwalker
63,The Magical Quest Starring Mickey Mouse
64,Puzzle Bobble
65,Guacamelee! 2
66,Light Fall
67,Semblance
68,N++
69,Warcraft III: Reign of Chaos
70,TimeSplitters 2
71,Halo: Reach
72,The Legend of Zelda: Twilight Princess
73,Octopath Traveler
74,Mega Man X 1 - 3 team relay race
75,Mega Man 10
76,Mega Man Unlimited
77,Mega Man (DOS)
78,Avoid the Noid
79,Virtual Hydlide
80,Urban Yeti!
81,Gordo 106
82,Mohawk & Headphone Jack
83,Star Wars Episode I: The Phantom Menace
84,Dragon's Lair: The Legend
85,Sword of Sodan
86,F̩rias Frustradas do Pica-Pau
87,Home Alone 2: Lost in New York
88,Garfield: A Week of Garfield
89,Monkey King
90,Trio the Punch: Never Forget Me
91,Metal Gear (NES)
92,Metal Gear 2: Solid Snake
93,Ninja Five-O
94,Lara Croft and the Guardian of Light
95,Overload
96,Prey
97,Dishonored: Death of the Outsider
98,Ultimate Doom
99,Doom 2: Hell On Earth
100,Chex Quest
101,Crypt of the NecroDancer: AMPLIFIED
102,The Messenger
103,Dead Cells
104,Cuphead
105,Celeste
106,The Legend of Zelda: The Wind Waker HD
107,Pac-Man: Championship Edition 2
108,Klonoa: Door to Phantomile
109,Ratchet & Clank: Up Your Arsenal
110,Metroid Fusion
111,Diablo 2: Lord of Destruction
112,Divinity: Original Sin 2
113,Grand Theft Auto: Vice City
114,Pokemon Gold
115,Final Fantasy IV - Free Enterprise
116,TASBot plays mari0 (SMB1 + Portal gun)
117,TASBot plays Castlevania: Aria of Sorrow
118,Twitch Plays Super Scribblenauts
119,Super Mario Sunshine
120,Final Fantasy IX
121,Puyo Puyo Tetris
122,Luigi's Mansion
123,I wanna kill the Kamilia 2
124,The Legend of Zelda: A Link to the Past
125,Dark Souls III
126,Bloodborne
127,Quickie World
128,Super Gracie World
129,Super Mario Odyssey
130,Super Metroid
